timing	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100
5.8 to 6.8	1	10	3	36	0	1	88	35	23	19	25	35	10	58	68	6	41	39	33	30	2	2	3	0	68	77	11	7	0	6	0	8	70	3	29	78	39	0	57	0	3	0	49	42	0	1	28	37	35	1	0	5	21	0	2	0	0	0	3	127	26	84	69	32	89	2	5	8	9	32	17	6	79	26	45	2	0	10	8	4	5	29	0	36	30	65	39	0	57	0	3	0	49	42	0	1	28	37	35	1
5.9 to 6.9	1	10	3	36	0	1	88	35	23	19	25	35	10	58	68	6	41	39	33	30	2	2	3	0	68	77	11	7	0	6	0	8	70	3	29	78	39	0	57	0	3	0	49	42	0	1	28	37	35	1	0	5	21	0	2	0	0	0	3	127	26	84	69	32	89	2	5	8	9	32	17	6	79	26	45	2	0	10	8	4	5	29	0	36	30	65	39	0	57	0	3	0	49	42	0	1	28	37	35	1
6 to 7	5	10	3	36	0	1	89	35	25	19	26	63	33	58	69	6	42	39	33	50	34	2	40	0	68	77	11	7	22	6	3	12	70	3	29	81	39	0	57	0	3	0	50	44	0	1	28	39	35	1	0	5	21	0	2	0	0	32	3	173	26	87	69	64	128	2	5	8	9	33	17	8	79	26	72	2	1	48	8	5	5	29	0	36	32	65	39	0	57	0	3	0	50	44	0	1	28	39	35	1
6.1 to 7.1	5	11	0	61	0	0	89	35	26	19	26	39	69	58	69	4	42	37	7	50	59	2	71	0	69	42	11	7	22	6	3	13	108	2	29	83	40	6	57	1	3	0	5	7	0	1	28	9	5	3	7	5	21	39	2	38	0	32	6	130	29	89	32	34	95	1	2	39	13	26	15	8	79	1	72	20	28	44	33	6	5	68	29	36	31	69	40	6	57	1	3	0	5	7	0	1	28	9	5	3
6.2 to 7.2	5	10	0	61	0	0	86	49	24	19	29	39	73	25	41	3	3	38	6	50	59	0	73	2	65	40	28	6	22	6	4	13	69	31	31	49	41	6	60	5	8	1	3	6	0	1	28	11	5	2	9	8	19	76	2	38	0	32	7	87	30	56	32	35	97	1	36	32	35	32	13	8	72	1	72	53	31	42	32	4	2	106	65	0	39	29	41	6	60	5	8	1	3	6	0	1	28	11	5	2
6.3 to 7.3	5	2	0	61	0	0	83	49	4	19	29	33	65	1	38	0	1	38	0	49	57	0	71	2	2	40	24	0	22	6	4	9	69	31	2	49	39	6	3	5	7	1	3	2	0	0	0	6	1	2	9	7	16	76	2	38	0	32	7	49	25	42	32	35	84	1	36	32	34	20	7	2	70	0	27	51	31	42	32	3	1	77	65	0	15	5	39	6	3	5	7	1	3	2	0	0	0	6	1	2
6.4 to 7.4	5	2	0	27	0	0	43	49	4	19	6	33	65	1	38	0	1	38	0	49	57	0	71	2	2	2	21	0	22	1	4	9	40	30	2	46	5	6	3	5	6	1	3	2	0	0	0	4	1	2	9	6	16	76	1	38	0	32	4	48	4	42	32	34	44	0	34	32	34	20	6	2	68	0	27	51	31	42	32	3	1	77	65	0	10	5	5	6	3	5	6	1	3	2	0	0	0	4	1	2
6.5 to 7.5	5	2	0	27	0	2	44	49	6	20	6	33	100	3	83	0	46	38	41	49	58	0	71	2	2	2	46	2	22	1	4	11	42	30	2	46	5	7	4	5	6	1	3	39	18	0	1	6	1	4	9	46	16	112	1	39	0	32	4	48	6	42	32	34	44	0	75	33	35	20	6	2	68	0	27	51	31	42	62	5	1	120	105	41	10	7	5	7	4	5	6	1	3	39	18	0	1	6	1	4
6.6 to 7.6	5	2	0	27	0	2	3	14	5	1	4	33	100	2	46	0	46	2	41	20	58	0	71	2	2	2	46	2	22	1	4	7	42	30	2	46	2	7	4	5	6	1	3	39	18	0	1	6	1	4	9	43	0	112	0	39	0	32	4	48	6	7	0	34	43	0	75	32	31	20	0	2	33	0	27	51	31	40	59	4	1	120	105	41	10	7	2	7	4	5	6	1	3	39	18	0	1	6	1	4
6.7 to 7.7	7	2	0	27	1	2	3	14	46	1	4	37	101	2	46	0	46	2	41	20	97	0	75	3	3	4	48	2	22	1	7	7	42	30	3	47	2	7	4	5	8	17	3	39	21	0	1	6	1	4	9	82	0	112	0	39	0	32	6	48	6	7	0	35	80	3	82	33	31	20	1	2	34	32	27	52	32	40	59	4	1	121	105	41	11	44	2	7	4	5	8	17	3	39	21	0	1	6	1	4
6.8 to 7.8	7	5	0	28	38	4	3	14	46	1	4	37	106	2	49	2	46	40	41	20	97	0	75	3	3	4	76	48	22	1	10	8	70	30	3	47	2	7	5	5	8	17	40	41	21	0	1	8	1	33	9	82	0	112	19	39	1	32	6	53	14	9	0	35	80	3	86	33	66	20	2	43	34	32	27	94	32	40	59	4	1	121	105	42	11	45	2	7	5	5	8	17	40	41	21	0	1	8	1	33
6.9 to 7.9	7	5	0	28	38	4	3	14	46	1	4	37	106	2	49	2	46	40	41	20	97	0	75	3	3	4	76	48	22	1	10	8	70	30	3	47	2	7	5	5	8	17	40	41	21	0	1	8	1	33	9	82	0	112	19	39	1	32	6	53	14	9	0	35	80	3	86	33	66	20	2	43	34	32	27	94	32	40	59	4	1	121	105	42	11	45	2	7	5	5	8	17	40	41	21	0	1	8	1	33
7 to 8	4	5	1	28	67	22	6	14	44	1	3	9	103	2	48	2	46	41	41	0	65	1	58	3	5	4	76	48	0	1	7	4	70	30	3	44	2	13	20	5	8	18	39	40	21	0	1	7	18	33	9	82	0	115	19	40	1	17	6	9	16	6	0	3	41	3	102	36	66	19	2	41	53	32	0	128	31	2	62	3	1	121	105	42	27	45	2	13	20	5	8	18	39	40	21	0	1	7	18	33
7.1 to 8.1	6	6	1	33	70	25	9	14	66	1	33	4	65	47	53	5	48	74	42	1	40	1	27	5	8	3	79	52	0	29	7	3	32	32	24	6	2	9	25	4	7	39	69	40	21	0	3	33	52	58	3	82	0	76	20	41	1	38	4	12	15	5	0	3	80	3	105	11	64	8	2	41	54	34	1	114	4	0	63	37	1	82	104	69	67	47	2	9	25	4	7	39	69	40	21	0	3	33	52	58
7.2 to 8.2	6	5	1	31	70	25	8	0	66	1	30	4	61	47	53	5	48	72	42	1	40	1	25	3	7	2	58	52	0	28	6	3	32	2	22	3	1	9	22	0	2	38	67	40	21	0	3	31	52	58	1	79	0	39	20	41	1	38	3	10	14	3	0	2	78	3	71	11	39	2	2	41	21	34	1	81	1	0	63	37	0	44	68	69	59	46	1	9	22	0	2	38	67	40	21	0	3	31	52	58
7.3 to 8.3	6	5	1	31	70	25	8	0	66	1	30	4	61	47	53	5	48	72	42	1	40	1	25	3	7	2	58	52	0	28	6	3	32	2	22	3	1	9	22	0	2	38	67	40	21	0	3	31	52	58	1	79	0	39	20	41	1	38	3	10	14	3	0	2	78	3	71	11	39	2	2	41	21	34	1	81	1	0	63	37	0	44	68	69	59	46	1	9	22	0	2	38	67	40	21	0	3	31	52	58
7.4 to 8.4	6	5	1	31	70	25	8	0	66	1	30	4	61	47	53	5	48	72	42	1	40	1	25	3	7	2	58	52	0	28	6	3	32	2	22	3	1	9	22	0	2	38	67	40	21	0	3	31	52	58	1	79	0	39	20	41	1	38	3	10	14	3	0	2	78	3	71	11	39	2	2	41	21	34	1	81	1	0	63	37	0	44	68	69	59	46	1	9	22	0	2	38	67	40	21	0	3	31	52	58
7.5 to 8.5	6	5	6	31	71	32	8	0	64	0	30	6	26	45	8	6	3	74	21	36	40	1	26	5	16	5	33	100	0	29	6	7	33	2	24	5	1	41	52	0	2	39	69	5	3	0	2	39	62	57	1	65	0	3	42	40	1	65	3	14	13	4	1	4	79	31	84	10	40	3	3	41	21	35	1	127	1	1	64	54	29	1	64	64	60	48	1	41	52	0	2	39	69	5	3	0	2	39	62	57
7.6 to 8.6	8	26	24	31	71	32	8	0	64	0	31	6	27	48	11	6	5	74	21	52	41	1	26	5	55	5	33	102	0	51	6	45	33	2	24	9	3	41	52	4	3	39	71	5	3	0	2	47	63	57	1	68	0	4	42	40	1	65	4	14	13	4	3	4	79	33	87	34	40	3	3	41	21	35	1	133	36	3	66	86	29	1	64	64	63	48	3	41	52	4	3	39	71	5	3	0	2	47	63	57
7.7 to 8.7	6	26	24	31	70	32	8	0	23	0	31	2	26	48	11	6	5	74	21	52	2	1	22	4	54	3	31	102	0	51	3	45	33	2	23	8	3	41	52	4	1	23	71	5	0	0	2	47	63	57	1	29	0	4	42	40	1	65	2	14	13	4	3	3	42	30	80	33	40	3	2	41	20	3	1	132	35	3	66	86	29	0	64	64	62	11	3	41	52	4	1	23	71	5	0	0	2	47	63	57
7.8 to 8.8	6	23	24	30	33	30	8	0	23	0	31	2	21	48	8	4	5	36	21	52	2	1	22	4	54	3	3	56	0	51	0	44	5	2	23	8	3	41	51	4	1	23	34	3	0	0	2	45	63	28	1	29	0	4	23	40	0	65	2	9	5	2	3	3	42	30	76	33	5	3	1	0	20	3	1	90	35	3	66	86	29	0	64	63	62	10	3	41	51	4	1	23	34	3	0	0	2	45	63	28
7.9 to 8.9	6	23	24	30	33	30	8	0	23	0	31	2	21	48	8	4	5	36	21	52	2	1	22	4	54	3	3	56	0	51	0	44	5	2	23	8	3	41	51	4	1	23	34	3	0	0	2	45	63	28	1	29	0	4	23	40	0	65	2	9	5	2	3	3	42	30	76	33	5	3	1	0	20	3	1	90	35	3	66	86	29	0	64	63	62	10	3	41	51	4	1	23	34	3	0	0	2	45	63	28
8 to 9	8	26	23	35	4	13	5	26	50	0	31	6	1	92	11	4	5	35	61	53	2	0	3	4	57	3	5	100	0	51	45	110	9	41	48	8	4	35	39	10	1	24	68	12	0	0	2	46	49	28	1	30	2	4	23	82	0	48	2	49	4	2	3	3	124	31	103	32	29	29	40	8	1	6	1	102	119	3	65	88	29	0	65	64	71	42	4	35	39	10	1	24	68	12	0	0	2	46	49	28
8.1 to 9.1	5	24	28	6	4	13	27	26	28	7	18	8	4	50	7	1	3	2	62	53	2	0	2	18	90	4	4	104	0	23	77	142	9	39	27	8	3	49	34	10	25	13	82	14	12	11	0	20	34	4	0	30	2	35	24	43	0	27	1	68	3	3	4	11	137	33	104	27	58	33	43	8	23	5	3	99	119	27	42	53	29	0	37	37	32	36	3	49	34	10	25	13	82	14	12	11	0	20	34	4
8.2 to 9.2	5	24	28	6	4	13	27	26	28	7	18	8	4	50	7	1	3	2	62	53	2	0	2	18	90	4	4	104	0	23	77	142	9	39	27	8	3	49	34	10	25	13	82	14	12	11	0	20	34	4	0	30	2	35	24	43	0	27	1	68	3	3	4	11	137	33	104	27	58	33	43	8	23	5	3	99	119	27	42	53	29	0	37	37	32	36	3	49	34	10	25	13	82	14	12	11	0	20	34	4
8.3 to 9.3	5	24	28	6	4	13	27	26	28	7	18	8	4	50	7	1	3	2	62	53	2	0	2	18	90	4	4	104	0	23	77	142	9	39	27	8	3	49	34	10	25	13	82	14	12	11	0	20	34	4	0	30	2	35	24	43	0	27	1	68	3	3	4	11	137	33	104	27	58	33	43	8	23	5	3	99	119	27	42	53	29	0	37	37	32	36	3	49	34	10	25	13	82	14	12	11	0	20	34	4
8.4 to 9.4	44	24	28	9	6	49	29	26	28	22	21	8	4	51	11	1	5	3	107	54	2	0	2	18	90	45	5	106	0	23	77	145	9	39	27	8	8	49	34	10	25	13	82	55	12	11	0	21	34	4	2	44	19	35	66	43	2	27	3	68	5	3	5	11	137	33	104	27	60	34	50	8	23	5	3	145	119	27	42	53	29	0	37	37	32	73	8	49	34	10	25	13	82	55	12	11	0	21	34	4
8.5 to 9.5	44	24	23	9	5	40	28	26	28	22	21	6	4	51	11	0	5	1	87	19	1	0	1	16	81	42	5	56	0	22	77	139	6	39	25	6	8	16	3	10	25	12	80	53	12	11	0	11	24	3	2	18	19	35	44	43	2	0	3	64	4	2	4	9	136	5	50	27	58	33	49	8	23	4	3	99	119	26	11	34	0	0	1	1	31	69	8	16	3	10	25	12	80	53	12	11	0	11	24	3
8.6 to 9.6	42	3	5	9	5	40	28	26	28	22	20	6	3	48	8	0	3	1	87	3	0	0	1	16	42	42	5	54	0	0	77	101	6	39	25	2	6	16	3	6	24	12	78	53	12	11	0	3	23	3	2	15	19	34	44	43	2	0	2	64	4	2	2	9	136	3	47	3	58	33	49	8	23	4	3	93	84	24	9	2	0	0	1	1	28	69	6	16	3	6	24	12	78	53	12	11	0	3	23	3
8.7 to 9.7	42	3	5	9	5	40	28	26	28	22	20	6	3	48	8	0	3	1	87	3	0	0	1	16	42	42	5	54	0	0	77	101	6	39	25	2	6	16	3	6	24	12	78	53	12	11	0	3	23	3	2	15	19	34	44	43	2	0	2	64	4	2	2	9	136	3	47	3	58	33	49	8	23	4	3	93	84	24	9	2	0	0	1	1	28	69	6	16	3	6	24	12	78	53	12	11	0	3	23	3
8.8 to 9.8	42	3	5	9	5	40	28	26	28	22	20	6	3	48	8	0	3	1	87	3	0	0	1	16	42	42	5	54	0	0	77	101	6	39	25	2	6	16	3	6	24	12	78	53	12	11	0	3	23	3	2	15	19	34	44	43	2	0	2	64	4	2	2	9	136	3	47	3	58	33	49	8	23	4	3	93	84	24	9	2	0	0	1	1	28	69	6	16	3	6	24	12	78	53	12	11	0	3	23	3
8.9 to 9.9	80	28	6	12	5	50	30	26	30	22	20	36	3	63	8	27	19	39	104	3	0	2	1	16	45	59	6	58	0	0	77	101	7	39	25	35	6	16	3	6	24	15	89	54	12	11	0	17	31	3	2	54	19	34	44	44	2	0	2	64	17	2	2	11	136	3	53	3	100	55	49	8	23	14	3	127	84	24	10	2	1	0	1	1	28	102	6	16	3	6	24	15	89	54	12	11	0	17	31	3
9 to 10	82	25	6	8	5	49	29	0	3	22	20	43	3	19	7	27	18	40	64	3	0	2	37	16	40	61	4	15	8	0	46	35	4	36	0	38	5	16	0	0	24	13	55	83	12	11	0	15	28	3	3	55	51	31	44	1	2	0	3	66	16	3	3	11	59	2	12	1	78	29	13	0	23	11	46	118	0	24	8	0	1	1	0	0	1	71	5	16	0	0	24	13	55	83	12	11	0	15	28	3
9.1 to 10.1	82	25	1	7	2	46	4	0	2	15	3	41	0	16	6	27	18	40	62	2	0	2	37	0	3	60	2	7	8	0	14	3	2	36	0	36	5	0	0	0	0	3	11	81	0	0	0	15	8	0	3	55	51	0	42	1	2	0	3	44	15	1	2	2	5	0	8	0	46	23	10	0	0	10	43	117	0	0	1	0	1	1	0	0	0	71	5	0	0	0	0	3	11	81	0	0	0	15	8	0
9.2 to 10.2	82	25	1	7	2	46	4	0	2	15	3	41	0	16	6	27	18	40	62	2	0	2	37	0	3	60	2	7	8	0	14	3	2	36	0	36	5	0	0	0	0	3	11	81	0	0	0	15	8	0	3	55	51	0	42	1	2	0	3	44	15	1	2	2	5	0	8	0	46	23	10	0	0	10	43	117	0	0	1	0	1	1	0	0	0	71	5	0	0	0	0	3	11	81	0	0	0	15	8	0
9.3 to 10.3	82	25	1	9	2	46	5	0	2	15	3	41	0	16	8	27	18	40	62	5	0	2	37	0	4	62	2	7	8	5	15	5	6	36	0	50	5	1	0	0	0	3	11	81	0	0	0	16	8	1	44	56	51	39	43	1	2	0	4	44	17	1	40	2	10	1	10	0	46	24	14	0	0	10	43	119	0	0	1	0	1	1	0	0	2	71	5	1	0	0	0	3	11	81	0	0	0	16	8	1
9.4 to 10.4	43	25	1	13	0	12	4	0	2	0	0	43	1	15	4	40	16	39	50	4	2	2	39	3	5	21	4	5	8	5	59	2	6	36	0	88	0	2	0	0	1	3	11	40	0	0	1	40	8	32	75	42	34	42	14	1	0	11	2	44	15	5	78	3	10	1	14	1	55	24	7	0	0	10	43	96	2	42	1	1	1	2	0	34	2	34	0	2	0	0	1	3	11	40	0	0	1	40	8	32
9.5 to 10.5	43	25	1	13	0	12	4	0	2	0	0	43	1	15	4	40	16	39	50	4	2	2	39	3	5	21	4	5	8	5	59	2	6	36	0	88	0	2	0	0	1	3	11	40	0	0	1	40	8	32	75	42	34	42	14	1	0	11	2	44	15	5	78	3	10	1	14	1	55	24	7	0	0	10	43	96	2	42	1	1	1	2	0	34	2	34	0	2	0	0	1	3	11	40	0	0	1	40	8	32
9.6 to 10.6	51	44	14	22	34	44	4	0	3	0	4	75	7	67	9	41	18	123	51	20	2	2	80	4	7	23	9	98	44	6	71	38	14	37	0	98	0	3	0	0	35	9	14	42	0	0	1	66	44	53	76	42	35	85	88	1	16	24	2	92	17	31	86	3	11	29	18	39	97	28	46	3	0	10	47	99	3	74	2	3	4	3	0	34	3	34	0	3	0	0	35	9	14	42	0	0	1	66	44	53
9.7 to 10.7	51	44	14	22	34	44	4	0	3	0	4	75	7	67	9	41	18	123	51	20	2	2	80	4	7	23	9	98	44	6	71	38	14	37	0	98	0	3	0	0	35	9	14	42	0	0	1	66	44	53	76	42	35	85	88	1	16	24	2	92	17	31	86	3	11	29	18	39	97	28	46	3	0	10	47	99	3	74	2	3	4	3	0	34	3	34	0	3	0	0	35	9	14	42	0	0	1	66	44	53
9.8 to 10.8	52	44	14	25	34	44	4	0	3	3	37	76	7	68	10	41	18	123	53	20	2	2	80	4	7	60	11	98	44	6	71	39	57	37	0	98	32	3	31	0	35	9	60	43	0	0	1	66	44	53	118	71	40	85	93	1	16	24	13	92	18	31	86	45	11	29	62	39	103	30	77	3	0	10	47	100	4	76	3	6	4	3	0	34	40	64	32	3	31	0	35	9	60	43	0	0	1	66	44	53
9.9 to 10.9	14	22	14	35	34	34	2	11	22	3	37	54	7	58	13	14	3	85	36	21	2	0	123	5	8	45	13	95	44	21	119	115	56	37	27	109	32	3	32	2	39	6	53	86	0	2	1	57	36	53	150	32	41	85	93	0	16	25	13	96	5	77	86	43	11	29	62	40	87	9	78	31	18	0	63	66	6	83	3	8	3	65	0	34	42	32	32	3	32	2	39	6	53	86	0	2	1	57	36	53
10 to 11	9	22	14	34	34	34	2	11	22	3	37	43	7	58	11	14	3	84	36	20	2	0	86	5	8	43	13	94	36	21	105	115	55	1	27	106	32	3	32	2	39	6	53	47	0	2	1	57	36	53	149	30	7	85	93	0	16	25	12	52	5	76	85	43	6	29	60	40	85	9	75	31	18	0	20	29	6	83	3	8	3	64	0	34	42	31	32	3	32	2	39	6	53	47	0	2	1	57	36	53
10.1 to 11.1	9	22	14	34	34	34	2	11	22	3	37	43	7	58	11	14	3	84	36	20	2	0	86	5	8	43	13	94	36	21	105	115	55	1	27	106	32	3	32	2	39	6	53	47	0	2	1	57	36	53	149	30	7	85	93	0	16	25	12	52	5	76	85	43	6	29	60	40	85	9	75	31	18	0	20	29	6	83	3	8	3	64	0	34	42	31	32	3	32	2	39	6	53	47	0	2	1	57	36	53
10.2 to 11.2	9	22	14	34	34	34	2	11	22	3	37	43	7	58	11	14	3	84	36	20	2	0	86	5	8	43	13	94	36	21	105	115	55	1	27	106	32	3	32	2	39	6	53	47	0	2	1	57	36	53	149	30	7	85	93	0	16	25	12	52	5	76	85	43	6	29	60	40	85	9	75	31	18	0	20	29	6	83	3	8	3	64	0	34	42	31	32	3	32	2	39	6	53	47	0	2	1	57	36	53
10.3 to 11.3	37	52	37	32	34	64	1	16	22	3	37	45	7	58	10	14	34	84	36	18	2	0	86	5	9	41	14	94	69	16	104	113	55	2	27	92	32	2	32	2	72	6	59	49	0	2	1	57	36	88	108	30	7	46	92	0	16	25	11	81	5	76	47	43	2	28	60	62	86	9	71	31	22	2	20	27	6	85	3	8	3	64	0	34	42	31	32	2	32	2	72	6	59	49	0	2	1	57	36	88
10.4 to 11.4	74	52	37	26	34	65	7	27	22	3	37	44	6	58	10	2	34	84	4	18	0	0	84	2	8	44	18	95	69	16	62	120	58	2	28	99	68	1	33	2	71	7	59	54	0	2	0	34	36	57	75	30	7	50	79	1	16	14	11	81	41	72	8	42	3	34	57	61	76	9	75	60	22	2	20	4	5	85	6	7	3	64	0	0	42	31	68	1	33	2	71	7	59	54	0	2	0	34	36	57
10.5 to 11.5	74	52	37	26	34	65	7	27	22	3	37	44	6	58	10	2	34	84	4	18	0	0	84	2	8	44	18	95	69	16	62	120	58	2	28	99	68	1	33	2	71	7	59	54	0	2	0	34	36	57	75	30	7	50	79	1	16	14	11	81	41	72	8	42	3	34	57	61	76	9	75	60	22	2	20	4	5	85	6	7	3	64	0	0	42	31	68	1	33	2	71	7	59	54	0	2	0	34	36	57
10.6 to 11.6	66	33	24	17	0	33	7	27	21	3	33	12	0	6	5	1	32	0	3	2	0	0	43	1	6	42	13	2	33	15	50	84	50	1	28	89	68	0	33	2	37	1	56	52	0	2	0	8	0	36	74	30	6	7	5	1	0	1	11	33	39	46	0	42	2	6	53	23	34	5	36	57	22	2	16	1	4	53	5	5	0	63	0	0	41	31	68	0	33	2	37	1	56	52	0	2	0	8	0	36
10.7 to 11.7	66	33	24	17	0	33	7	27	21	3	33	12	0	6	5	1	32	0	3	2	0	0	43	1	6	42	13	2	33	15	50	84	50	1	28	89	68	0	33	2	37	1	56	52	0	2	0	8	0	36	74	30	6	7	5	1	0	1	11	33	39	46	0	42	2	6	53	23	34	5	36	57	22	2	16	1	4	53	5	5	0	63	0	0	41	31	68	0	33	2	37	1	56	52	0	2	0	8	0	36
10.8 to 11.8	65	33	24	14	0	33	7	27	21	0	0	11	0	5	4	1	32	0	1	2	0	0	43	1	6	5	11	2	33	15	50	83	7	1	28	89	36	0	2	2	37	1	10	51	0	2	0	8	0	36	32	1	1	7	0	1	0	1	0	33	38	46	0	0	2	6	9	23	28	3	5	57	22	2	16	0	3	51	4	2	0	63	0	0	4	1	36	0	2	2	37	1	10	51	0	2	0	8	0	36
10.9 to 11.9	65	30	23	1	0	33	7	16	0	0	0	3	0	0	1	1	31	0	1	1	0	0	0	0	2	3	8	1	33	0	2	7	7	1	1	45	36	0	1	0	33	1	6	7	0	0	0	3	0	36	0	1	0	7	0	1	0	0	0	29	38	0	0	0	2	6	3	22	2	2	4	29	4	2	0	0	1	44	3	0	0	1	0	0	2	0	36	0	1	0	33	1	6	7	0	0	0	3	0	36
11 to 12	65	30	23	1	0	33	38	16	0	2	1	13	0	0	1	14	31	0	1	2	0	0	2	1	2	3	10	19	36	0	2	42	7	4	1	77	36	0	1	2	34	3	7	7	0	0	0	3	1	36	0	3	23	7	31	1	0	0	1	42	38	0	0	0	10	6	4	22	3	13	4	29	4	2	3	2	1	49	8	0	0	1	0	0	2	2	36	0	1	2	34	3	7	7	0	0	0	3	1	36
11.1 to 12.1	65	30	23	1	0	33	38	16	0	2	1	13	0	0	1	14	31	0	1	2	0	0	2	1	2	3	10	19	36	0	2	42	7	4	1	77	36	0	1	2	34	3	7	7	0	0	0	3	1	36	0	3	23	7	31	1	0	0	1	42	38	0	0	0	10	6	4	22	3	13	4	29	4	2	3	2	1	49	8	0	0	1	0	0	2	2	36	0	1	2	34	3	7	7	0	0	0	3	1	36
11.2 to 12.2	65	35	23	1	0	35	39	31	2	2	1	65	12	3	3	19	34	1	3	2	1	0	2	4	42	5	14	19	41	0	2	125	46	5	1	78	38	0	22	2	44	11	33	35	1	0	0	8	1	36	1	12	23	7	72	1	0	29	12	48	40	30	0	38	11	6	43	22	9	25	5	29	30	24	27	8	43	49	8	3	2	4	6	0	2	5	38	0	22	2	44	11	33	35	1	0	0	8	1	36
11.3 to 12.3	38	7	3	32	20	42	40	27	2	2	40	67	12	39	4	47	3	3	3	2	1	17	2	5	40	22	13	56	8	1	31	128	43	4	1	81	82	0	27	2	11	11	28	33	1	19	33	18	2	15	1	19	23	10	98	3	1	35	12	22	40	34	13	40	11	7	48	15	11	24	8	29	26	22	27	8	44	131	43	4	2	46	9	1	20	19	82	0	27	2	11	11	28	33	1	19	33	18	2	15
11.4 to 12.4	2	9	14	40	20	40	33	16	2	2	40	66	12	40	4	47	7	4	5	3	23	18	2	15	74	21	7	55	8	1	30	121	40	4	0	41	46	1	54	2	11	28	38	28	1	19	57	21	6	16	4	21	55	3	120	4	1	46	12	22	5	34	13	42	10	1	49	15	14	29	37	0	26	22	27	14	43	89	40	4	2	45	39	2	20	25	46	1	54	2	11	28	38	28	1	19	57	21	6	16
11.5 to 12.5	9	20	14	40	20	40	33	39	2	2	41	66	14	54	6	47	32	27	7	3	24	18	2	15	75	21	9	98	8	1	30	123	47	4	0	71	46	1	54	2	11	35	73	28	1	19	57	29	6	17	4	23	55	3	120	4	1	46	22	22	10	34	14	79	10	2	52	15	15	29	37	0	27	23	31	15	48	90	41	6	10	45	39	2	33	25	46	1	54	2	11	35	73	28	1	19	57	29	6	17
11.6 to 12.6	9	20	14	40	20	40	33	39	2	2	41	66	14	54	6	47	32	27	7	3	24	18	2	15	75	21	9	98	8	1	30	123	47	4	0	71	46	1	54	2	11	35	73	28	1	19	57	29	6	17	4	23	55	3	120	4	1	46	22	22	10	34	14	79	10	2	52	15	15	29	37	0	27	23	31	15	48	90	41	6	10	45	39	2	33	25	46	1	54	2	11	35	73	28	1	19	57	29	6	17
11.7 to 12.7	9	20	14	40	20	40	33	39	2	2	41	66	14	54	6	47	32	27	7	3	24	18	2	15	75	21	9	98	8	1	30	123	47	4	0	71	46	1	54	2	11	35	73	28	1	19	57	29	6	17	4	23	55	3	120	4	1	46	22	22	10	34	14	79	10	2	52	15	15	29	37	0	27	23	31	15	48	90	41	6	10	45	39	2	33	25	46	1	54	2	11	35	73	28	1	19	57	29	6	17
11.8 to 12.8	9	20	14	40	20	40	33	39	2	2	41	66	14	54	6	47	32	27	7	3	24	18	2	15	75	21	9	98	8	1	30	123	47	4	0	71	46	1	54	2	11	35	73	28	1	19	57	29	6	17	4	23	55	3	120	4	1	46	22	22	10	34	14	79	10	2	52	15	15	29	37	0	27	23	31	15	48	90	41	6	10	45	39	2	33	25	46	1	54	2	11	35	73	28	1	19	57	29	6	17
11.9 to 12.9	9	20	14	40	20	40	33	39	2	2	41	66	14	54	6	47	32	27	7	3	24	18	2	15	75	21	9	98	8	1	30	123	47	4	0	71	46	1	54	2	11	35	73	28	1	19	57	29	6	17	4	23	55	3	120	4	1	46	22	22	10	34	14	79	10	2	52	15	15	29	37	0	27	23	31	15	48	90	41	6	10	45	39	2	33	25	46	1	54	2	11	35	73	28	1	19	57	29	6	17
12 to 13	9	20	14	40	20	40	2	39	2	0	40	56	14	54	6	34	32	27	7	2	24	18	0	14	75	21	7	80	5	1	30	88	47	1	0	39	46	1	54	0	10	33	72	28	1	19	57	29	5	17	4	21	32	3	89	4	1	46	21	9	10	34	14	79	2	2	51	15	14	18	37	0	27	23	28	13	48	85	36	6	10	45	39	2	33	23	46	1	54	0	10	33	72	28	1	19	57	29	5	17
12.1 to 13.1	9	20	14	40	20	40	2	39	2	0	40	56	14	54	6	34	32	27	7	2	24	18	0	14	75	21	7	80	5	1	30	88	47	1	0	39	46	1	54	0	10	33	72	28	1	19	57	29	5	17	4	21	32	3	89	4	1	46	21	9	10	34	14	79	2	2	51	15	14	18	37	0	27	23	28	13	48	85	36	6	10	45	39	2	33	23	46	1	54	0	10	33	72	28	1	19	57	29	5	17
12.2 to 13.2	54	15	14	41	20	76	1	24	0	0	40	4	39	52	5	29	29	26	5	8	68	19	4	11	35	20	6	82	25	1	33	7	15	0	0	66	44	1	67	0	1	25	46	2	0	19	57	26	5	17	3	12	32	5	48	4	3	38	20	3	52	5	14	41	1	4	13	16	50	30	80	0	1	1	5	7	6	91	74	42	15	42	33	2	34	20	44	1	67	0	1	25	46	2	0	19	57	26	5	17
