,model,lnL,AIC,AICc,timing,tree.no,delta,w
1600,EB,217.4741977,-426.9483954,-426.7310041,NA94,95,0,0.570287715248788
1601,OU,207.851243,-407.7024861,-407.4850948,NA94,95,19.2459093,3.77483447123737e-05
1602,kappa,209.0284055,-410.0568109,-409.8394196,NA94,95,16.8915845,0.000122499142021581
1603,delta,213.1819522,-418.3639045,-418.1465132,NA94,95,8.58449089999999,0.00779822034739578
1604,lambda,207.851243,-407.7024861,-407.4850948,NA94,95,19.2459093,3.77483447123737e-05
1605,ts ,205.6109589,-405.2219178,-405.0914831,NA 1189,95,21.639521,1.14059571513936e-05
1606,trc ,216.9334812,-425.8669624,-425.6483832,NA 910,95,1.08262089999999,0.331898947329954
1607,src ,214.5798488,-423.1596976,-423.0292628,NA 1034,95,3.70174129999998,0.0895923867508894
1608,bms ,208.5982195,-407.196439,-406.8685702,36.04882379,95,19.8624339,2.77345610290821e-05
1609,ous ,204.9285296,-399.8570592,-399.5291904,11.02867699,95,27.2018137,7.06797854576459e-07
1610,ouma ,206.994155,-401.9883101,-401.5267716,18.23149246,95,25.2042325,1.91895357808863e-06
1611,oumv ,208.8602936,-405.7205871,-405.2590486,36.04879285,95,21.4719555,1.2402753768434e-05
1612,oumva ,210.6935199,-407.3870399,-406.7682554,a 27.5324579607487,95,19.9627487,2.63777783373942e-05
1613,DensDep,203.530388141425,-403.06077628285,-402.996260153818,NA,95,23.734743946182,4.00091987313029e-06
1614,JN,206.672274833577,-407.344549667155,-407.214819937425,NA,95,19.516184162575,3.29767970599711e-05
1615,NIG,196.889264169636,-387.778528339273,-387.648798609543,NA,95,39.082205490457,1.85994851978744e-09
1616,BM,202.8251424,-399.6502849,-399.5205551,NA95,96,14.5782,0.000354813837749293
1617,EB,203.4649809,-398.9299617,-398.7125704,NA95,96,15.3861847,0.000236891185128815
1618,OU,202.8251424,-397.6502849,-397.4328936,NA95,96,16.6658615,0.00012493111447793
1619,kappa,203.9714619,-399.9429237,-399.7255324,NA95,96,14.3732227,0.000393107024286168
1620,delta,210.0430677,-412.0861354,-411.8687441,NA95,96,2.23001099999999,0.170363173356946
1621,lambda,202.8251424,-397.6502849,-397.4328936,NA95,96,16.6658615,0.00012493111447793
1622,ts ,202.4006053,-398.8012106,-398.6707758,NA 1190,96,15.4279793,0.000231992165389453
1623,trc ,211.1586672,-414.3173343,-414.0987551,NA 911,96,0,0.5195369698194
1624,src ,209.5614388,-413.1228775,-412.9924427,NA 1035,96,1.10631239999998,0.298802186919903
1625,bms ,206.324286,-402.648572,-402.3207031,37.66155162,96,11.778052,0.00143894754125526
1626,ous ,201.226444,-392.4528881,-392.1250192,20.47116012,96,21.9737359,8.79185127685611e-06
1627,ouma ,202.7077663,-393.4155326,-392.9539941,22.76631692,96,21.144761,1.33072999253477e-05
1628,oumv ,209.0848783,-406.1697566,-405.7082181,32.47251736,96,8.39053699999999,0.00782770585047778
1629,oumva ,207.1483599,-400.2967197,-399.6779352,a 33.0654604104271,96,14.4208199,0.000383862072252808
